,Himmelblau_solution_0,Himmelblau_solution_1,Himmelblau_solution_2,Himmelblau_solution_3,Himmelblau_solution_4,Himmelblau_solution_5,Himmelblau_solution_6,Himmelblau_solution_7,Himmelblau_solution_8,Himmelblau_solution_9,Himmelblau_solution_10,Himmelblau_solution_11,Himmelblau_solution_12,Himmelblau_solution_13,Himmelblau_solution_14,Himmelblau_solution_15,Himmelblau_solution_16,Himmelblau_solution_17,Himmelblau_solution_18,Himmelblau_solution_19,Himmelblau_solution_20,Himmelblau_solution_21,Himmelblau_solution_22,Himmelblau_solution_23,Himmelblau_solution_24,Himmelblau_solution_25,Himmelblau_solution_26,Himmelblau_solution_27,Himmelblau_solution_28,Himmelblau_solution_29
11,-29756.891025027897,-29918.57875969036,-29478.756277584696,-29294.54982165021,-29900.871372925634,-29650.12962263276,-30040.438264586584,-28848.560909006304,-29222.898713422626,-29276.991095626323,-29977.36728366041,-29705.08883584486,-29974.11868351303,-29325.624138039966,-29756.942940743924,-29448.615556468943,-30250.975928596818,-29774.342988859884,-29906.476722501873,-29717.82893239036,-29674.80723429531,-29650.74101922058,-29334.622518729113,-29851.150020512814,-29505.2657838038,-29840.887099253192,-29753.949115363615,-29661.5239128079,-29721.656512832087,-29417.062590731788
12,-29756.891025027897,-29918.57875969036,-29492.001857748237,-29294.54982165021,-29900.871372925634,-29650.12962263276,-30040.438264586584,-28848.560909006304,-29222.898713422626,-29276.991095626323,-29977.36728366041,-29705.08883584486,-29974.11868351303,-29325.624138039966,-29756.942940743924,-29448.615556468943,-30250.975928596818,-29782.483069389928,-29906.476722501873,-29771.3840725207,-29674.80723429531,-29650.74101922058,-29530.5565827889,-29851.150020512814,-29505.2657838038,-29840.887099253192,-29753.949115363615,-29661.5239128079,-29721.656512832087,-29417.062590731788
13,-29756.891025027897,-29918.57875969036,-29492.001857748237,-29294.54982165021,-29900.871372925634,-30023.748463887292,-30040.438264586584,-28848.560909006304,-29222.898713422626,-29276.991095626323,-29977.36728366041,-29705.08883584486,-29974.11868351303,-29325.624138039966,-29756.942940743924,-29448.615556468943,-30250.975928596818,-29782.483069389928,-29906.476722501873,-29771.3840725207,-29674.80723429531,-29650.74101922058,-29721.016413220113,-29940.594203020813,-29505.2657838038,-29840.887099253192,-29753.949115363615,-29700.41821060176,-29721.656512832087,-29417.062590731788
14,-29756.891025027897,-29918.57875969036,-29492.001857748237,-29294.54982165021,-29972.198798489702,-30023.748463887292,-30040.438264586584,-28848.560909006304,-29353.56635007722,-29276.991095626323,-29977.36728366041,-29705.08883584486,-29974.11868351303,-29539.689337959266,-29756.942940743924,-29448.615556468943,-30250.975928596818,-29782.483069389928,-30054.591131390996,-29771.3840725207,-29674.80723429531,-29650.74101922058,-29852.125815395455,-29940.594203020813,-29505.2657838038,-29840.887099253192,-29907.961352417835,-29700.41821060176,-29721.656512832087,-29445.01312616813
15,-29756.891025027897,-29918.57875969036,-29492.001857748237,-29294.54982165021,-29972.198798489702,-30023.748463887292,-30040.438264586584,-28848.560909006304,-29353.56635007722,-29279.403966225065,-29977.36728366041,-29705.08883584486,-29974.11868351303,-30106.87050182862,-29756.942940743924,-29448.615556468943,-30292.65150231684,-29786.6286470953,-30054.591131390996,-29771.3840725207,-29674.80723429531,-29650.74101922058,-29852.125815395455,-29940.594203020813,-29505.2657838038,-29840.887099253192,-29907.961352417835,-29700.41821060176,-29832.757985488155,-29445.01312616813
16,-29756.891025027897,-29918.57875969036,-29729.804487862242,-29484.1366422363,-29972.198798489702,-30023.748463887292,-30040.438264586584,-29385.845667665468,-29353.56635007722,-29279.403966225065,-29977.36728366041,-29705.08883584486,-29974.11868351303,-30162.7396292534,-29756.942940743924,-29448.615556468943,-30292.65150231684,-29786.6286470953,-30054.591131390996,-29771.3840725207,-29674.80723429531,-29710.57401143429,-29852.125815395455,-29940.594203020813,-29998.55336934054,-29840.887099253192,-29907.961352417835,-29700.41821060176,-29832.757985488155,-29459.997922197013
17,-29756.891025027897,-29976.5020660725,-29753.92789862706,-29484.1366422363,-29972.198798489702,-30023.748463887292,-30040.438264586584,-29385.845667665468,-29353.56635007722,-29279.403966225065,-29977.36728366041,-29934.77565200669,-29974.11868351303,-30162.7396292534,-29756.942940743924,-29448.615556468943,-30292.65150231684,-29786.6286470953,-30054.591131390996,-29771.3840725207,-29674.80723429531,-29865.684960388717,-29900.73363868866,-29940.594203020813,-29998.55336934054,-29840.887099253192,-29911.064868647925,-29936.616272565385,-29832.757985488155,-29496.002214841254
18,-29756.891025027897,-29976.5020660725,-29753.92789862706,-29484.1366422363,-29972.198798489702,-30023.748463887292,-30040.438264586584,-29385.845667665468,-29353.56635007722,-29303.91575865323,-29977.36728366041,-30004.770739325013,-29974.11868351303,-30162.7396292534,-29756.942940743924,-29614.357623487856,-30292.65150231684,-29786.6286470953,-30054.591131390996,-29771.3840725207,-29674.80723429531,-29865.684960388717,-29900.73363868866,-29940.594203020813,-29998.55336934054,-29960.834914821244,-29911.064868647925,-29936.616272565385,-29929.17741431014,-29785.85817376697
19,-29756.891025027897,-29976.5020660725,-29753.92789862706,-29484.1366422363,-29972.198798489702,-30023.748463887292,-30114.254659828708,-29391.054419233005,-29353.56635007722,-29303.91575865323,-29977.36728366041,-30004.770739325013,-29974.11868351303,-30162.7396292534,-29756.942940743924,-29643.34408429864,-30292.65150231684,-29786.6286470953,-30054.591131390996,-29771.3840725207,-29674.80723429531,-30056.4560549976,-29922.54558586546,-29940.594203020813,-29998.55336934054,-29960.834914821244,-29911.064868647925,-29936.616272565385,-29929.17741431014,-29785.85817376697
20,-29765.587916304652,-29976.5020660725,-29759.741469130855,-29484.1366422363,-30050.10425785669,-30023.748463887292,-30362.218166878745,-29391.054419233005,-29370.841786555637,-29308.61832677971,-29977.36728366041,-30085.917425233358,-29999.799541887838,-30162.7396292534,-29756.942940743924,-29653.285188182228,-30292.65150231684,-29786.6286470953,-30063.313741776405,-29771.3840725207,-29674.80723429531,-30056.4560549976,-29922.54558586546,-29940.594203020813,-29998.55336934054,-29960.834914821244,-29911.064868647925,-29949.858796224766,-30000.105957278927,-29832.230772967407
21,-29765.587916304652,-29976.5020660725,-29759.741469130855,-29484.1366422363,-30050.10425785669,-30101.681179937583,-30362.218166878745,-29412.9259410959,-29370.841786555637,-29308.61832677971,-29977.36728366041,-30085.917425233358,-29999.799541887838,-30162.7396292534,-29756.942940743924,-29653.285188182228,-30292.65150231684,-29786.6286470953,-30154.609690795332,-29771.3840725207,-29674.80723429531,-30056.4560549976,-29922.54558586546,-29940.594203020813,-29998.55336934054,-30054.30927981125,-29911.064868647925,-29949.858796224766,-30108.733378220804,-29889.23159714555
22,-29765.587916304652,-29976.5020660725,-29759.741469130855,-29484.1366422363,-30050.10425785669,-30145.75627686712,-30362.218166878745,-29412.9259410959,-29602.44858912198,-29354.304327576254,-30141.909652437957,-30085.917425233358,-30027.93349059897,-30162.7396292534,-29756.942940743924,-29653.285188182228,-30292.65150231684,-29786.6286470953,-30154.609690795332,-29771.3840725207,-29674.80723429531,-30056.4560549976,-29922.54558586546,-29940.594203020813,-30038.995144283665,-30054.30927981125,-29911.064868647925,-29949.858796224766,-30205.81237475424,-29889.23159714555
23,-29765.587916304652,-29976.5020660725,-29849.934609604155,-29538.02457511914,-30050.10425785669,-30156.051501583017,-30362.218166878745,-29584.93330227602,-29602.44858912198,-29354.304327576254,-30141.909652437957,-30085.917425233358,-30390.60735924594,-30180.568472504434,-29756.942940743924,-29653.285188182228,-30292.65150231684,-29786.6286470953,-30255.45846042318,-29771.3840725207,-29674.80723429531,-30056.4560549976,-29946.385031677295,-29940.594203020813,-30038.995144283665,-30054.30927981125,-29911.064868647925,-30001.952290015546,-30205.81237475424,-29889.23159714555
24,-29765.587916304652,-29976.5020660725,-29849.934609604155,-29601.879144589937,-30050.10425785669,-30156.051501583017,-30362.218166878745,-29584.93330227602,-29602.44858912198,-29354.304327576254,-30141.909652437957,-30085.917425233358,-30548.078106009663,-30180.568472504434,-29756.942940743924,-29653.285188182228,-30292.65150231684,-29786.6286470953,-30255.45846042318,-29771.3840725207,-29674.80723429531,-30056.4560549976,-29946.385031677295,-29940.594203020813,-30038.995144283665,-30054.30927981125,-29911.064868647925,-30001.952290015546,-30205.81237475424,-29933.908480059297
25,-29765.587916304652,-29976.5020660725,-29981.585242747133,-29601.879144589937,-30050.10425785669,-30156.051501583017,-30362.218166878745,-29584.93330227602,-29626.158280074145,-29476.594774790963,-30141.909652437957,-30085.917425233358,-30548.078106009663,-30180.568472504434,-29756.942940743924,-29940.931306385257,-30292.65150231684,-29786.6286470953,-30255.45846042318,-29771.3840725207,-29674.80723429531,-30056.4560549976,-29992.328702770472,-29940.594203020813,-30038.995144283665,-30062.56956465216,-29911.064868647925,-30001.952290015546,-30258.97778067262,-29944.886959005526
26,-29765.587916304652,-29976.5020660725,-30003.30156756495,-29601.879144589937,-30050.10425785669,-30156.051501583017,-30362.218166878745,-29735.46769461706,-29626.158280074145,-29476.594774790963,-30141.909652437957,-30085.917425233358,-30548.078106009663,-30180.568472504434,-29756.942940743924,-29940.931306385257,-30292.65150231684,-29869.502462818953,-30255.45846042318,-29771.3840725207,-29674.80723429531,-30056.4560549976,-30023.790505469566,-29940.594203020813,-30038.995144283665,-30062.759123564254,-29911.064868647925,-30001.952290015546,-30258.97778067262,-30065.97773088427
27,-29765.587916304652,-29976.5020660725,-30082.543684826407,-29601.879144589937,-30050.10425785669,-30159.417884861617,-30362.218166878745,-29735.46769461706,-29626.158280074145,-29476.594774790963,-30141.909652437957,-30085.917425233358,-30548.078106009663,-30180.568472504434,-29756.942940743924,-29940.931306385257,-30292.65150231684,-30017.64584673775,-30255.45846042318,-29771.3840725207,-29674.80723429531,-30056.4560549976,-30140.810996131142,-29940.594203020813,-30038.995144283665,-30062.759123564254,-29911.064868647925,-30001.952290015546,-30258.97778067262,-30071.125914524775
