,eso_F18_0,de_F18_0,ga_F18_0,pso_F18_0,eso_F18_1,de_F18_1,ga_F18_1,pso_F18_1,eso_F18_2,de_F18_2,ga_F18_2,pso_F18_2,eso_F18_3,de_F18_3,ga_F18_3,pso_F18_3,eso_F18_4,de_F18_4,ga_F18_4,pso_F18_4,eso_F19_0,de_F19_0,ga_F19_0,pso_F19_0,eso_F19_1,de_F19_1,ga_F19_1,pso_F19_1,eso_F19_2,de_F19_2,ga_F19_2,pso_F19_2,eso_F19_3,de_F19_3,ga_F19_3,pso_F19_3,eso_F19_4,de_F19_4,ga_F19_4,pso_F19_4
12,16660036.997232277,74435356.47767355,168330330.21718794,6152776.684122351,41680276.6189443,163206805.97674903,212421206.64976093,45101772.71886005,19120721.740923617,37351660.40697575,42389025.94386184,16296868.275571616,25355270.296891782,27004741.91444563,126112817.18418041,79104924.28705102,8301011.289055599,103867903.58863607,91584368.15831085,61879816.527958,2700603248.235161,6278997641.8455515,29769899223.81192,14123281890.237682,1373111524.991731,2240607473.739636,4797648787.098137,19960701910.723,3994903238.8739433,13371465695.844564,7907277926.607743,5948326447.7210455,371583124.1502197,10181762462.012953,7374683133.7639675,7683748839.232056,670061064.128793,12808066152.650162,1055585625.0380512,9141006759.714115
13,16660036.997232277,74435356.47767355,171953766.88671526,6152776.684122351,29805146.294060666,130037867.60686061,212365102.7844357,45101772.71886005,15648901.031740036,37351660.40697575,42389025.53057782,16296868.275571616,19762913.970954243,27004741.91444563,125400947.6399534,43986504.17700072,4911159.25819427,103867903.58863607,71116653.99052292,61879816.527958,2700603248.235161,6278997641.8455515,29769899223.812813,9896800202.79833,819224434.5309159,1768864544.2039628,4588566062.59767,19960701910.723,3994903238.8739433,10086600472.894808,6582045862.768708,3292328249.3905587,200820220.262709,10145318669.139784,7374683133.763957,7683748839.232056,670061064.128793,11699573779.390713,1054082808.7285198,6232760179.06747
14,16059804.325582357,74435356.47767355,193114406.75953874,6152776.684122351,22322587.746378217,130037867.60686061,195242276.81692523,45101772.71886005,15648901.031740036,37351660.40697575,26281173.17908163,16296868.275571616,11067241.31563685,27004741.91444563,124829671.2988581,43986504.17700072,4911159.25819427,85710855.83169666,69986563.10572027,49138467.02610013,2700603248.235161,6278997641.8455515,29305334723.58947,6423334491.480523,819224434.5309159,1768864544.2039628,4516579923.82062,19960701910.723,2697335023.170757,4523869633.036926,5535227114.486079,3266330040.852814,79809877.61479531,10145318669.139784,7001490664.054165,6206580530.147632,670061064.128793,11699573779.390713,749430650.7511827,5389775768.509776
15,16059804.325582357,74435356.47767355,191898120.25051436,6152776.684122351,11932934.144814204,130037867.60686061,194916683.26952857,43496498.06525711,15379166.390817009,37351660.40697575,24054782.32704881,14347209.067505715,11067241.31563685,27004741.91444563,124829671.22019431,38135607.31181893,4911159.25819427,85710855.83169666,71116647.30075936,49138467.02610013,2700603248.235161,6278997641.8455515,29166461101.774776,5250397025.246899,719415365.6696924,1768864544.2039628,4513707568.035276,19526672264.085518,1824546201.012144,4523869633.036926,5535006783.935256,3046544206.082072,23827391.23725568,8817378239.77666,6983461446.342942,6016519909.81157,670061064.128793,11699573779.390713,749430650.7511827,5019416659.284021
16,16059804.325582357,74435356.47767355,191898120.25051436,6152776.684122351,10851318.784727281,130037867.60686061,183556305.17494547,43496498.06525711,14985286.512951741,37351660.40697575,20579784.422635745,14347209.067505715,11067241.31563685,27004741.91444563,124755578.47022237,38135607.31181893,4911159.25819427,85710855.83169666,68667173.3973542,49138467.02610013,472738594.57195836,6278997641.8455515,29090908882.0906,5250397025.246899,556410123.6895596,1768864544.2039628,2358948064.069646,19526672264.085518,1703057810.225073,2770677645.4670844,2045081682.2913833,2384132865.8138814,23827391.23725568,8817378239.77666,6300596295.242766,5901729259.72578,548608931.6279359,11699573779.390713,601520091.1000683,5019416659.284021
17,16059804.325582357,74435356.47767355,191898120.23753342,6152776.684122351,10851318.784727281,130037867.60686061,184449437.86491668,43496498.06525711,13460481.063516136,37351660.40697575,20579679.48894059,12158447.65269036,11067241.31563685,27004741.91444563,123237108.57498343,37050740.68168444,4911159.25819427,84772599.46320711,68525731.84523979,49138467.02610013,472738594.57195836,6278997641.8455515,29072828540.657265,5250397025.246899,531814120.4842455,1768864544.2039628,2358947767.3628583,19526672264.085518,1640122427.055414,2770677645.4670844,1438650688.2032309,2107193735.248606,23312933.724915307,8817378239.77666,6300216290.826522,5547164260.096977,548608931.6279359,11699573779.390713,601520090.8035635,4668382846.712793
18,16059804.325582357,74435356.47767355,187394409.13678542,6152776.684122351,9257521.90987699,130037867.60686061,184448488.63373062,43496498.06525711,13460481.063516136,37351660.40697575,13722425.10735362,12158447.65269036,11067241.31563685,27004741.91444563,122377951.3255469,37050740.68168444,4911159.25819427,84772599.46320711,66037558.89710507,41603690.40826791,472738594.57195836,6278997641.8455515,28138391162.49777,3287393366.2398314,525422497.1585442,1768864544.2039628,2358947766.5195794,19526672264.085518,1640122427.055414,2770677645.4670844,1305917449.3366938,1787888694.5111964,23312933.724915307,7374014349.016219,6225580032.161451,5547164260.096977,523178367.1129774,3953795951.192303,597687828.2952657,4070976067.154377
19,15845845.739835858,74435356.47767355,185056166.88270468,6152776.684122351,8701717.42999951,113552817.66619307,184448488.56671903,43496498.06525711,13460481.063516136,37351660.40697575,13722395.046531452,12158447.65269036,11067241.31563685,27004741.91444563,121077931.86182885,34393768.97529418,4911159.25819427,32154930.84597325,63365664.914075516,35009636.41328431,468173520.64264536,6210470666.358402,28138382128.655853,3287393366.2398314,525422497.1585442,1768864544.2039628,2358533427.116354,19495404776.97933,1296667062.6070487,2770677645.4670844,595627241.3666538,1787888694.5111964,23312933.724915307,7374014349.016219,6225189159.795907,3897868961.77107,523178367.1129774,3953795951.192303,474764505.1875832,3866726616.166181
20,15592486.42019917,74435356.47767355,185056166.88270468,6152776.684122351,6878628.046110272,113552817.66619307,184448242.0010765,43496498.06525711,13460481.063516136,37351660.40697575,11245890.349122217,12158447.65269036,11067241.31563685,27004741.91444563,121080025.59689127,32518174.630112387,4911159.25819427,32154930.84597325,63365664.836464755,35009636.41328431,275646755.6433192,6210470666.358402,28124886523.370564,2219798604.3062835,498137035.79920954,1768864544.2039628,2358682592.165856,19124672495.402206,1296667062.6070487,2770677645.4670844,595627241.3201021,1787888694.5111964,23312933.724915307,7374014349.016219,2345918784.0664115,3527184487.8198175,523178367.1129774,3835793708.904428,474103208.51523185,3866726616.166181
21,14889160.204859037,74435356.47767355,185055695.41569284,5585552.758061796,3770311.763475854,113552817.66619307,155584165.4625679,41569870.072346196,13460481.063516136,37351660.40697575,8401378.956824906,12158447.65269036,11065135.9706988,6351673.13598758,112797616.1659954,31489671.35800721,4911159.25819427,32154930.84597325,63236121.999856785,35009636.41328431,275646755.6433192,6210470666.358402,27940936020.232216,1438590786.801132,365673997.9668024,1768864544.2039628,1839987793.5244274,19124672495.402206,1296667062.6070487,1745199154.8950558,394456057.41426426,1787888694.5111964,23312933.724915307,7374014349.016219,2316548257.241791,2848664948.1602163,523178367.1129774,3835793708.904428,474103208.32957464,3605437135.005913
